1000 1 1 1000
1000 1 1000 1
1000 1000 1 1
1000 1 1000 1000
1000 1000 1 1000
1000 1000 1000 1
1000 1 1 1
1000 1000 1000 1000
985 78 87 84
908 87 36 94
973 63 22 50
974 64 60 91
964 73 27 41
971 68 69 12
977 63 31 83
998 30 36 68
933 70 59 23
958 12 57 94
981 22 74 30
976 99 38 85
974 14 71 16
927 57 81 92
919 97 71 63
973 85 26 6
971 47 6 37
905 25 58 14
933 15 46 83
950 44 65 35
922 77 9 88
949 4 85 89
940 33 100 55
988 40 69 77
961 95 87 27
922 35 71 96
998 98 2 68
944 53 93 18
959 87 81 2
981 45 90 66
983 32 30 41
925 82 72 98
944 68 28 10
935 87 54 98
976 20 84 7
971 33 72 29
932 71 20 4
951 41 16 9
955 19 24 97
945 22 52 47
972 65 89 80
1000 94 51 42
986 25 65 35
909 44 57 88
964 60 66 28
972 38 52 33
979 75 8 76
963 30 96 59
972 19 94 36
971 29 12 44
937 44 5 77
960 7 39 14
912 29 19 5
904 18 18 70
917 71 44 25
975 73 100 91
961 6 91 45
918 70 87 55
993 98 65 43
989 49 5 56
957 100 29 23
978 41 69 47
999 6 11 12
995 79 31 62
974 45 37 21
984 9 66 23
963 25 59 83
964 1 25 63
950 80 100 53
969 74 72 69
906 34 31 82
919 100 64 61
927 60 97 100
905 91 69 14
960 85 67 27
958 77 85 91
944 46 8 37
988 88 19 80
991 60 73 49
913 43 11 37
928 14 2 7
901 20 56 22
989 40 5 22
972 6 68 41
942 85 51 28
931 23 25 21
916 31 82 97
950 73 73 93
901 23 86 26
987 99 43 41
910 25 91 99
964 20 82 10
996 95 56 33
924 74 70 80
958 61 56 51
995 94 85 80
987 5 68 22
941 27 55 62
994 3 3 45
932 43 22 85
